Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,204,178,193,201,203,178,221,213,208,208,251,216,240
Expenses+,170,144,158,162,160,143,180,165,165,162,198,173,190
Operating Profit,35,34,35,39,43,35,41,48,43,47,53,43,50
OPM %,17%,19%,18%,20%,21%,20%,19%,23%,21%,22%,21%,20%,21%
Other Income+,6,5,2,8,8,9,7,11,15,3,12,20,13
Interest,1,1,1,1,1,1,1,0,0,0,0,0,0
Depreciation,5,5,7,7,7,7,7,7,7,7,7,7,7
Profit before tax,35,33,29,40,43,36,40,51,51,42,57,55,56
Tax %,23%,21%,20%,23%,24%,25%,19%,27%,21%,28%,27%,26%,27%
Net Profit+,27,27,23,31,32,27,32,37,40,31,42,41,41
EPS in Rs,6.18,6.04,5.32,6.95,7.38,6.21,7.33,8.50,9.17,7.04,9.55,9.37,9.40
Raw PDF,,,,,,,,,,,,,
