Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,520,415,688,880,795,989
Expenses+,483,388,643,814,715,862
Operating Profit,37,27,45,67,80,127
OPM %,7%,6%,7%,8%,10%,13%
Other Income+,5,8,6,9,13,8
Interest,17,16,19,19,23,20
Depreciation,9,9,10,10,9,13
Profit before tax,17,10,22,46,61,102
Tax %,36%,42%,30%,28%,25%,25%
Net Profit+,11,6,16,33,46,77
EPS in Rs,5.36,2.95,9.69,16.48,9.17,15.41
Dividend Payout %,0%,0%,0%,0%,0%,0%
