Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,131,877,"1,197","1,787","2,386","2,552"
Expenses+,48,258,381,531,710,776
Operating Profit,83,618,816,"1,256","1,676","1,776"
OPM %,63%,71%,68%,70%,70%,70%
Other Income+,5,22,32,61,82,70
Interest,41,208,432,852,"1,078",919
Depreciation,32,208,275,411,430,434
Profit before tax,15,224,140,54,250,493
Tax %,-69%,-10%,7%,128%,36%,
Net Profit+,25,246,131,-15,160,384
EPS in Rs,0.84,7.35,3.92,0.28,3.04,5.98
Dividend Payout %,0%,274%,0%,0%,572%,
