Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,65,100,137,133,200,228
Expenses+,50,75,101,93,146,164
Operating Profit,15,25,36,40,54,63
OPM %,23%,25%,26%,30%,27%,28%
Other Income+,0,2,0,0,1,2
Interest,1,0,0,1,1,1
Depreciation,2,2,3,5,6,7
Profit before tax,12,24,34,35,48,58
Tax %,25%,24%,25%,25%,23%,
Net Profit+,9,18,25,26,37,45
EPS in Rs,2.10,4.09,5.48,5.66,8.05,9.90
Dividend Payout %,6%,6%,5%,8%,12%,
