Metric,Mar 2024,Mar 2025,TTM
Sales+,518,655,796
Expenses+,473,585,708
Operating Profit,45,71,88
OPM %,9%,11%,11%
Other Income+,-6,1,1
Interest,13,14,14
Depreciation,7,8,10
Profit before tax,18,50,65
Tax %,29%,26%,
Net Profit+,13,37,47
EPS in Rs,7.30,21.62,27.66
Dividend Payout %,16%,9%,
