Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,072","1,744","2,002","1,748"
Expenses+,"1,930","1,664","1,887","1,661"
Operating Profit,142,80,114,87
OPM %,7%,5%,6%,5%
Other Income+,19,33,37,45
Interest,2,5,5,4
Depreciation,41,50,55,55
Profit before tax,118,58,92,72
Tax %,23%,26%,28%,
Net Profit+,90,43,66,58
EPS in Rs,41.34,19.56,30.42,26.75
Dividend Payout %,24%,51%,33%,
