Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,671","2,694","2,444","3,030","2,767","2,882","2,520","3,091","2,775","2,975","2,704","3,201","2,827"
Expenses+,"2,307","2,344","2,097","2,473","2,294","2,402","2,169","2,569","2,340","2,503","2,276","2,672","2,475"
Operating Profit,364,350,347,557,474,480,351,522,434,472,428,528,352
OPM %,14%,13%,14%,18%,17%,17%,14%,17%,16%,16%,16%,17%,12%
Other Income+,16,13,15,17,19,20,48,46,30,27,26,3,37
Interest,24,30,29,20,21,20,18,15,17,16,15,14,17
Depreciation,62,64,74,78,83,83,87,87,89,89,89,94,97
Profit before tax,293,269,258,476,389,398,294,466,358,394,350,423,275
Tax %,25%,25%,28%,25%,25%,25%,24%,24%,25%,25%,25%,25%,25%
Net Profit+,220,201,186,355,292,300,223,354,270,296,263,315,206
EPS in Rs,1.88,1.72,1.59,3.04,2.50,2.57,1.91,3.03,2.31,2.53,2.25,2.70,1.77
Raw PDF,,,,,,,,,,,,,
