Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,921","2,574","2,742","2,115","2,463","2,580","3,215","2,621","3,306","3,125","3,526","2,999","3,419"
Expenses+,"2,802","2,442","2,609","2,048","2,326","2,505","3,102","2,549","3,163","3,030","3,386","2,949","3,316"
Operating Profit,119,131,133,67,136,75,114,72,144,95,139,51,103
OPM %,4%,5%,5%,3%,6%,3%,4%,3%,4%,3%,4%,2%,3%
Other Income+,40,7,3,6,9,16,10,20,12,9,10,40,28
Interest,14,21,27,23,24,31,28,33,34,30,29,34,43
Depreciation,20,19,23,22,23,23,26,23,25,27,36,30,33
Profit before tax,124,99,86,28,98,36,70,36,96,47,84,27,56
Tax %,9%,7%,11%,18%,10%,29%,6%,13%,8%,10%,11%,26%,13%
Net Profit+,113,93,77,23,88,26,65,31,89,42,75,20,48
EPS in Rs,7.19,5.93,4.32,1.44,4.95,1.11,3.47,1.51,4.80,1.76,2.85,0.92,2.12
Raw PDF,,,,,,,,,,,,,
