Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,470","2,370","2,486","2,318","2,397","2,330","2,459","2,309","2,502","2,465","2,509","2,386","2,480"
Expenses+,"2,112","2,192","2,224","2,103","2,192","2,085","2,151","1,961","2,187","2,153","2,222","2,060","2,146"
Operating Profit,358,179,262,215,205,244,308,348,315,313,287,326,334
OPM %,14%,8%,11%,9%,9%,10%,13%,15%,13%,13%,11%,14%,13%
Other Income+,41,77,83,103,98,86,81,79,93,79,133,82,49
Interest,25,21,30,32,22,19,29,18,18,19,23,23,21
Depreciation,99,99,104,105,104,99,97,97,100,101,103,109,114
Profit before tax,275,136,211,182,178,212,264,312,291,273,293,276,249
Tax %,25%,23%,24%,25%,23%,23%,23%,23%,32%,22%,19%,25%,25%
Net Profit+,207,105,160,137,136,162,202,240,197,212,238,208,188
EPS in Rs,7.09,3.54,5.49,4.72,4.64,5.54,6.94,8.25,6.81,7.28,8.21,7.16,6.47
Raw PDF,,,,,,,,,,,,,
