Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,263,315,314,394,854,"1,284"
Expenses+,182,223,353,375,699,"1,028"
Operating Profit,81,92,-39,18,155,256
OPM %,31%,29%,-12%,5%,18%,20%
Other Income+,18,10,17,25,18,12
Interest,6,9,10,19,31,37
Depreciation,18,29,34,36,39,37
Profit before tax,74,63,-66,-11,103,195
Tax %,33%,51%,2%,53%,12%,31%
Net Profit+,49,31,-67,-17,91,134
EPS in Rs,97.46,60.53,-132.39,-33.31,5.98,8.72
Dividend Payout %,2%,2%,-0%,-2%,0%,0%
