Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,174,191,205,190,220,268,279,250,262,296,319,272,293
Expenses+,121,129,135,145,169,183,194,168,170,185,197,182,186
Operating Profit,53,62,70,45,51,85,85,82,92,110,122,90,107
OPM %,30%,33%,34%,24%,23%,32%,31%,33%,35%,37%,38%,33%,37%
Other Income+,15,5,15,2,3,-71,14,7,3,3,-15,12,85
Interest,128,123,135,108,115,65,58,56,54,62,55,51,43
Depreciation,24,25,23,23,28,31,32,30,29,29,29,29,30
Profit before tax,-84,-80,-74,-83,-88,-83,11,3,12,22,23,23,120
Tax %,0%,0%,0%,0%,-0%,-10%,-7%,-21%,-3%,-2%,-103%,17%,17%
Net Profit+,-84,-80,-74,-83,-88,-74,11,4,13,23,46,19,100
EPS in Rs,-10.98,-10.53,-8.63,-9.78,-4.04,-3.41,0.52,0.19,0.57,1.04,2.07,0.78,4.18
Raw PDF,,,,,,,,,,,,,
