Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,"1,238","1,149","1,646","2,285","2,782","3,112"
Expenses+,"1,181","1,093","1,513","2,124","2,559","2,864"
Operating Profit,57,56,133,161,223,248
OPM %,5%,5%,8%,7%,8%,8%
Other Income+,5,12,24,15,-12,259
Interest,37,26,20,23,31,42
Depreciation,5,6,8,9,16,31
Profit before tax,21,35,129,143,165,434
Tax %,15%,28%,25%,24%,30%,19%
Net Profit+,17,29,97,108,115,351
EPS in Rs,69.72,117.32,387.72,528.34,561.80,32.00
Dividend Payout %,0%,3%,1%,0%,0%,0%
