Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,987,982,"1,139","1,215","1,134","1,165","1,343","1,477","1,294","1,269","1,538","1,466","1,341"
Expenses+,913,915,"1,042","1,110","1,041","1,064","1,215","1,321","1,184","1,165","1,395","1,342","1,232"
Operating Profit,73,67,97,105,92,102,128,156,110,104,143,124,109
OPM %,7%,7%,9%,9%,8%,9%,10%,11%,9%,8%,9%,8%,8%
Other Income+,3,5,4,12,14,3,5,7,4,5,4,5,5
Interest,2,2,10,11,9,9,10,9,8,6,3,4,2
Depreciation,15,17,19,20,20,19,22,22,22,25,27,26,27
Profit before tax,59,53,72,86,78,76,101,132,85,79,118,98,85
Tax %,26%,26%,27%,25%,24%,24%,24%,25%,25%,24%,23%,25%,23%
Net Profit+,44,39,53,64,59,58,76,99,63,60,91,74,65
EPS in Rs,1.01,0.91,1.22,1.48,1.36,1.34,1.75,2.28,1.46,1.38,2.09,1.69,1.50
Raw PDF,,,,,,,,,,,,,
