Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,307,446
Expenses+,0,0,254,366
Operating Profit,-0,-0,53,80
OPM %,,,17%,18%
Other Income+,0,0,2,3
Interest,0,0,5,6
Depreciation,0,0,21,28
Profit before tax,-0,-0,29,48
Tax %,-33%,-14%,25%,
Net Profit+,-0,-0,21,36
EPS in Rs,,,4.29,7.16
Dividend Payout %,0%,0%,35%,
