Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,170,"1,963","2,210","2,420"
Expenses+,18,217,290,303
Operating Profit,152,"1,745","1,920","2,117"
OPM %,90%,89%,87%,87%
Other Income+,1,77,257,356
Interest,51,694,766,782
Depreciation,50,643,758,885
Profit before tax,53,486,653,805
Tax %,-226%,29%,27%,
Net Profit+,171,343,474,606
EPS in Rs,0.36,0.60,0.56,0.72
Dividend Payout %,0%,0%,0%,
