Metric,Mar 2024,Mar 2025,TTM
Sales+,"2,224","3,560","3,731"
Expenses+,"1,454","2,305","2,448"
Operating Profit,771,"1,255","1,283"
OPM %,35%,35%,34%
Other Income+,16,76,159
Interest,20,44,7
Depreciation,201,402,410
Profit before tax,565,884,"1,025"
Tax %,25%,28%,
Net Profit+,424,638,741
EPS in Rs,,3.05,
Dividend Payout %,0%,0%,
