Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"16,624","18,660","16,875","17,671","17,344","17,260","16,648","17,940","16,413","17,461"
Expenses+,"14,626","16,220","14,701","15,149","15,004","15,055","14,772","15,408","14,228","15,032"
Operating Profit,"1,997","2,440","2,173","2,522","2,340","2,205","1,876","2,533","2,185","2,429"
OPM %,12%,13%,13%,14%,13%,13%,11%,14%,13%,14%
Other Income+,388,383,369,333,224,192,244,210,215,231
Interest,37,35,49,37,32,29,30,36,25,17
Depreciation,560,557,534,558,529,519,527,530,528,518
Profit before tax,"1,788","2,232","1,960","2,260","2,003","1,850","1,563","2,175","1,847","2,126"
Tax %,26%,27%,27%,26%,26%,26%,26%,26%,26%,26%
Net Profit+,"1,329","1,628","1,425","1,677","1,490","1,375","1,161","1,614","1,369","1,572"
EPS in Rs,,,,,18.33,16.93,14.29,19.87,16.85,19.35
Raw PDF,,,,,,,,,,
