Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,136.94,156.56,163.92,170.55,164.85,181.88,206.47,241.76,284.14,314.47,282.74
Expenses+,123.62,146.57,163.89,155.16,152.32,167.08,190.44,222.28,262.67,291.28,287.93
Operating Profit,13.32,9.99,0.03,15.39,12.53,14.80,16.03,19.48,21.47,23.19,-5.19
OPM %,9.73%,6.38%,0.02%,9.02%,7.60%,8.14%,7.76%,8.06%,7.56%,7.37%,-1.84%
Other Income+,-3.57,1.85,31.90,2.04,3.14,6.17,5.28,5.23,5.94,6.96,5.17
Interest,0.35,0.53,1.26,0.60,0.49,0.59,0.58,0.62,0.55,0.65,0.61
Depreciation,3.12,2.99,4.40,2.92,2.62,2.35,2.39,2.64,2.97,3.17,3.33
Profit before tax,6.28,8.32,26.27,13.91,12.56,18.03,18.34,21.45,23.89,26.33,-3.96
Tax %,24.36%,-0.60%,-1.64%,-120.27%,41.48%,17.58%,28.74%,27.60%,29.80%,28.07%,-12.37%
Net Profit+,4.73,8.36,26.70,30.65,7.35,14.86,13.09,15.54,16.77,18.95,-3.47
EPS in Rs,0.12,0.24,0.75,0.81,0.24,0.38,0.34,0.40,0.43,0.49,-0.08
Raw PDF,,,,,,,,,,,
