Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,480,463,499,529,584
Expenses+,369,408,439,438,479
Operating Profit,111,54,60,91,105
OPM %,23%,12%,12%,17%,18%
Other Income+,5,5,7,6,12
Interest,4,3,3,2,1
Depreciation,13,17,18,19,21
Profit before tax,98,40,46,76,95
Tax %,25%,28%,29%,25%,27%
Net Profit+,74,29,33,57,70
EPS in Rs,37.60,14.56,16.85,29.09,17.70
Dividend Payout %,11%,21%,24%,14%,14%
