Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,225.54","1,309.48","1,291.97","1,112.13","1,112.82","1,228.24","1,188.08","1,154.91","1,118.33","1,289.72","1,265.47","1,064.59","1,107.14"
Expenses+,"1,129.91","1,203.96","1,197.35","1,044.54","1,037.53","1,170.60","1,138.34","1,079.50","1,066.72","1,202.30","1,172.46","1,031.98","1,050.01"
Operating Profit,95.63,105.52,94.62,67.59,75.29,57.64,49.74,75.41,51.61,87.42,93.01,32.61,57.13
OPM %,7.80%,8.06%,7.32%,6.08%,6.77%,4.69%,4.19%,6.53%,4.61%,6.78%,7.35%,3.06%,5.16%
Other Income+,17.97,10.38,19.62,19.51,6.40,42.73,22.46,10.62,15.19,12.79,37.55,23.66,7.82
Interest,9.95,15.07,11.96,11.51,14.06,20.35,17.56,15.78,17.29,18.71,18.07,17.58,12.69
Depreciation,19.36,17.41,22.38,22.97,26.88,29.54,30.19,31.96,34.79,36.08,41.24,37.17,36.76
Profit before tax,84.29,83.42,79.90,52.62,40.75,50.48,24.45,38.29,14.72,45.42,71.25,1.52,15.50
Tax %,26.44%,26.73%,34.94%,29.44%,33.06%,25.99%,-19.88%,26.59%,12.36%,26.55%,17.12%,40.13%,36.39%
Net Profit+,62.00,61.12,51.98,37.13,27.28,37.36,29.31,28.11,12.90,33.36,59.05,0.91,9.86
EPS in Rs,5.24,5.31,4.52,3.23,2.37,3.25,2.54,2.44,1.12,2.89,5.12,0.08,0.85
Raw PDF,,,,,,,,,,,,,
