Metric,Mar 2024,Mar 2025,TTM
Sales+,508,543,550
Expenses+,451,479,487
Operating Profit,56,64,63
OPM %,11%,12%,12%
Other Income+,7,5,5
Interest,3,3,3
Depreciation,15,15,15
Profit before tax,46,51,50
Tax %,25%,26%,
Net Profit+,34,38,36
EPS in Rs,5.76,6.39,6.18
Dividend Payout %,22%,23%,
