Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,113","1,869","2,154","2,184","2,509","2,411","2,575","2,536","2,873","2,490","2,646","2,261","2,441"
Expenses+,"1,985","1,675","1,875","1,874","2,151","2,072","2,217","2,195","2,515","2,209","2,330","2,035","2,288"
Operating Profit,129,194,278,310,358,339,359,342,358,280,316,225,153
OPM %,6%,10%,13%,14%,14%,14%,14%,13%,12%,11%,12%,10%,6%
Other Income+,23,35,42,31,33,43,42,52,63,38,2,29,15
Interest,28,36,33,26,34,42,52,43,55,62,57,42,43
Depreciation,110,114,114,99,98,100,96,97,86,98,93,88,101
Profit before tax,14,79,173,216,259,240,252,253,280,158,168,124,24
Tax %,40%,44%,26%,25%,23%,25%,48%,27%,28%,22%,21%,28%,38%
Net Profit+,8,44,129,163,200,179,131,186,202,123,133,89,15
EPS in Rs,0.09,0.42,1.25,1.66,2.02,1.82,1.50,1.91,2.07,1.24,1.36,0.90,0.13
Raw PDF,,,,,,,,,,,,,
