Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,671","1,610","1,538","1,571","1,569","1,613","1,666","1,786","1,847","1,964","2,083","2,050"
Expenses+,"1,415","1,221","1,017","1,092","1,120","1,218","1,229","1,373","1,523","1,570","1,583","1,714"
Operating Profit,256,390,521,479,449,395,437,413,325,394,500,336
OPM %,15%,24%,34%,30%,29%,24%,26%,23%,18%,20%,24%,16%
Other Income+,32,34,39,44,48,44,36,47,42,42,32,29
Interest,2,2,3,2,3,6,3,3,3,4,5,5
Depreciation,59,64,62,66,68,81,83,84,91,93,96,104
Profit before tax,227,357,496,454,426,352,386,373,272,339,431,256
Tax %,24%,25%,26%,25%,26%,26%,25%,23%,19%,27%,26%,25%
Net Profit+,172,269,368,338,317,261,289,287,221,247,319,191
EPS in Rs,17.42,27.21,37.30,34.27,32.11,26.38,29.24,29.03,22.40,25.01,32.26,19.37
Raw PDF,,,,,,,,,,,,
