Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,563,596,560,654,643,666,632,718,696,757,711,777,742
Expenses+,460,479,462,533,528,544,529,594,584,622,605,664,640
Operating Profit,103,117,98,121,115,122,103,124,112,134,106,113,102
OPM %,18%,20%,18%,19%,18%,18%,16%,17%,16%,18%,15%,15%,14%
Other Income+,7,7,11,8,8,6,12,5,-3,10,9,7,9
Interest,21,22,25,23,24,26,28,27,27,28,30,30,31
Depreciation,63,68,72,73,77,87,87,90,88,100,85,92,97
Profit before tax,27,34,12,34,21,14,1,12,-6,17,1,-2,-17
Tax %,0%,3%,"-1,002%",26%,29%,30%,-143%,31%,2%,24%,-237%,-6%,-23%
Net Profit+,27,33,135,25,15,10,2,8,-6,13,2,-2,-13
EPS in Rs,0.85,1.03,4.27,0.78,0.48,0.32,0.08,0.27,-0.10,0.37,0.06,-0.06,-0.40
Raw PDF,,,,,,,,,,,,,
