Metric,Mar 2024,Mar 2025,TTM
Sales+,369,318,299
Expenses+,351,282,276
Operating Profit,17,36,23
OPM %,5%,11%,8%
Other Income+,0,0,0
Interest,14,15,15
Depreciation,15,17,17
Profit before tax,-11,5,-9
Tax %,-18%,-41%,
Net Profit+,-9,7,-10
EPS in Rs,-5.73,4.25,-6.16
Dividend Payout %,0%,0%,
