Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,877","2,915","2,889","3,093","3,621","3,523","3,794","3,818","4,245","4,184","4,528","4,489","4,814"
Expenses+,"2,558","2,577","2,570","2,763","3,220","3,143","3,320","3,410","3,762","3,727","4,002","3,946","4,262"
Operating Profit,318,338,319,330,402,380,474,408,482,457,527,543,552
OPM %,11%,12%,11%,11%,11%,11%,12%,11%,11%,11%,12%,12%,11%
Other Income+,45,29,44,38,62,52,94,48,59,49,62,59,76
Interest,19,13,21,25,27,29,32,36,46,47,41,44,45
Depreciation,107,115,108,119,125,133,149,142,151,158,165,159,173
Profit before tax,237,240,234,224,311,270,387,277,345,301,384,399,409
Tax %,23%,27%,17%,20%,24%,24%,22%,24%,23%,15%,25%,23%,21%
Net Profit+,182,174,194,180,238,205,302,211,266,254,289,309,323
EPS in Rs,2.97,2.83,3.19,3.01,3.93,3.37,5.01,3.46,4.27,4.05,4.64,5.06,5.27
Raw PDF,,,,,,,,,,,,,
