Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,560","4,041","4,357","4,429","4,696"
Expenses+,"3,107","3,598","3,894","3,945","4,211"
Operating Profit,453,443,464,484,485
OPM %,13%,11%,11%,11%,10%
Other Income+,13,12,487,3,3
Interest,85,84,103,117,116
Depreciation,77,80,104,111,120
Profit before tax,304,291,743,259,252
Tax %,32%,33%,9%,25%,
Net Profit+,205,194,675,195,191
EPS in Rs,13.16,12.38,42.99,12.44,12.18
Dividend Payout %,6%,8%,2%,10%,
