Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,013","1,137",924,994,"1,039","1,238","1,046","1,069","1,115","1,379","1,064","1,161","1,257"
Expenses+,848,924,769,822,878,"1,020",880,926,965,"1,134",894,990,"1,086"
Operating Profit,165,213,155,172,161,217,167,143,150,246,170,172,170
OPM %,16%,19%,17%,17%,15%,18%,16%,13%,13%,18%,16%,15%,14%
Other Income+,2,24,23,7,6,3,33,4,8,23,20,10,10
Interest,51,52,55,54,55,59,58,61,65,65,70,73,73
Depreciation,93,100,104,105,108,111,112,117,122,130,125,129,134
Profit before tax,23,86,18,20,3,51,30,-32,-29,73,-5,-21,-27
Tax %,30%,27%,21%,27%,22%,28%,23%,-28%,-28%,28%,-137%,-25%,-25%
Net Profit+,16,63,14,14,3,37,23,-23,-21,52,2,-16,-20
EPS in Rs,1.48,5.72,1.30,1.32,0.25,3.35,2.11,-2.07,-1.87,4.75,0.18,-1.43,-1.83
Raw PDF,,,,,,,,,,,,,
