Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,257","1,372","1,972","1,512","1,668","2,001","2,436","1,588","1,715","2,178"
Expenses+,"1,212","1,326","1,880","1,423","1,604","1,947","2,313","1,494","1,605","2,070"
Operating Profit,45,45,92,89,64,54,123,94,110,107
OPM %,4%,3%,5%,6%,4%,3%,5%,6%,6%,5%
Other Income+,1,2,2,2,2,12,7,15,13,36
Interest,10,11,11,12,12,13,6,11,19,20
Depreciation,6,6,6,5,6,7,8,13,11,14
Profit before tax,30,30,77,73,48,46,115,85,93,109
Tax %,27%,28%,26%,25%,26%,24%,25%,27%,25%,27%
Net Profit+,22,22,58,55,35,35,86,62,69,79
EPS in Rs,4.01,3.98,10.43,4.66,2.99,2.57,6.34,4.57,5.11,5.84
Raw PDF,,,,,,,,,,
