Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,700","2,638","2,433","2,796","2,960","3,045","2,908","3,263","3,251","3,272","3,060","3,401","3,467"
Expenses+,"2,342","2,243","2,080","2,429","2,534","2,589","2,498","2,826","2,818","2,867","2,719","3,038","3,093"
Operating Profit,359,395,353,367,425,456,410,437,433,406,341,364,374
OPM %,13%,15%,15%,13%,14%,15%,14%,13%,13%,12%,11%,11%,11%
Other Income+,24,27,-23,24,29,24,33,30,25,146,26,18,150
Interest,5,6,8,8,8,8,11,9,14,11,10,11,9
Depreciation,102,115,124,117,122,122,123,123,127,132,144,142,150
Profit before tax,275,301,198,266,325,350,309,335,317,409,213,229,365
Tax %,27%,26%,28%,25%,27%,23%,26%,26%,26%,27%,24%,28%,24%
Net Profit+,201,222,142,198,238,268,230,249,236,298,162,165,276
EPS in Rs,11.78,12.99,8.34,11.61,13.96,15.68,12.55,13.61,12.87,16.30,8.83,9.00,15.11
Raw PDF,,,,,,,,,,,,,
