Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,468,550,703,"1,022","1,206","1,296"
Expenses+,447,505,653,953,"1,128","1,212"
Operating Profit,21,45,50,69,78,84
OPM %,4%,8%,7%,7%,6%,6%
Other Income+,10,2,8,8,16,17
Interest,10,10,10,12,10,12
Depreciation,5,4,5,7,9,11
Profit before tax,16,32,44,58,76,78
Tax %,-2%,19%,12%,15%,17%,
Net Profit+,17,26,38,49,63,62
EPS in Rs,29.19,45.59,46.67,24.57,31.30,30.89
Dividend Payout %,0%,0%,0%,6%,0%,
