Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,636,502,695,355,586,503,648,307,608,571,736,389,706
Expenses+,516,426,574,332,498,435,542,297,519,504,625,369,598
Operating Profit,119,76,121,23,88,69,106,10,89,66,111,21,107
OPM %,19%,15%,17%,6%,15%,14%,16%,3%,15%,12%,15%,5%,15%
Other Income+,9,13,10,8,12,11,6,24,21,16,14,12,37
Interest,6,6,5,4,5,6,5,5,6,6,8,6,9
Depreciation,15,15,14,14,14,14,14,14,14,15,18,20,21
Profit before tax,108,68,113,13,81,60,93,15,91,62,100,6,115
Tax %,26%,24%,22%,24%,24%,26%,26%,25%,25%,26%,28%,28%,25%
Net Profit+,80,52,88,10,61,44,69,12,68,45,72,5,87
EPS in Rs,17.10,11.07,18.81,2.13,13.08,9.79,15.21,2.53,15.03,10.00,15.88,1.02,19.11
Raw PDF,,,,,,,,,,,,,
