Metric,Mar 2009
Sales+,42.16
Expenses+,39.51
Operating Profit,2.65
OPM %,6.29%
Other Income+,0.00
Interest,0.46
Depreciation,1.10
Profit before tax,1.09
Tax %,30.28%
Net Profit+,0.76
EPS in Rs,0.14
Dividend Payout %,0.00%
