Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,355,386,427,425
Expenses+,268,305,334,368
Operating Profit,87,82,93,57
OPM %,25%,21%,22%,13%
Other Income+,3,6,6,8
Interest,1,20,25,5
Depreciation,4,7,10,11
Profit before tax,84,61,64,49
Tax %,26%,27%,27%,
Net Profit+,63,44,47,37
EPS in Rs,5.88,4.19,4.36,3.66
Dividend Payout %,0%,60%,57%,
