Metric,Mar 2009,Mar 2012
Sales+,13.29,19.63
Expenses+,10.44,14.39
Operating Profit,2.85,5.24
OPM %,21.44%,26.69%
Other Income+,3.03,2.76
Interest,0.00,1.60
Depreciation,1.32,2.38
Profit before tax,4.56,4.02
Tax %,26.10%,37.81%
Net Profit+,3.37,2.50
EPS in Rs,0.72,0.46
Dividend Payout %,0.00%,87.03%
