Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,633,"1,103","1,231","1,057","1,419","1,845"
Expenses+,451,695,666,626,914,"1,173"
Operating Profit,182,408,565,431,506,672
OPM %,29%,37%,46%,41%,36%,36%
Other Income+,21,37,49,139,63,85
Interest,20,17,10,9,10,11
Depreciation,62,62,58,64,82,89
Profit before tax,121,366,546,497,477,657
Tax %,23%,26%,26%,23%,23%,31%
Net Profit+,93,271,406,385,367,451
EPS in Rs,110.62,319.74,462.09,6.75,6.57,8.07
Dividend Payout %,0%,0%,0%,0%,0%,0%
