Metric,Mar 2021,Mar 2022,Mar 2024,Mar 2025,TTM
Sales+,229,301,296,392,399
Expenses+,125,148,196,282,282
Operating Profit,103,153,100,111,117
OPM %,45%,51%,34%,28%,29%
Other Income+,5,8,11,16,16
Interest,3,4,10,20,20
Depreciation,14,22,40,62,71
Profit before tax,92,135,61,45,42
Tax %,25%,25%,30%,34%,
Net Profit+,69,101,43,30,28
EPS in Rs,"3,583.25",18.92,8.01,5.60,5.17
Dividend Payout %,0%,0%,25%,0%,
