Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,390","2,763","3,049","3,046","3,222","3,601","3,993","4,410","4,961","5,561"
Expenses+,"2,964","3,387","3,575","3,536","3,766","4,155","4,719","5,374","5,916","6,360"
Operating Profit,-575,-624,-526,-490,-544,-554,-726,-964,-955,-799
OPM %,-24%,-23%,-17%,-16%,-17%,-15%,-18%,-22%,-19%,-14%
Other Income+,119,87,78,73,75,82,106,121,87,59
Interest,17,15,18,20,20,23,26,32,41,48
Depreciation,91,105,108,117,122,131,154,206,288,304
Profit before tax,-564,-657,-574,-555,-611,-626,-799,"-1,081","-1,197","-1,092"
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,-564,-657,-574,-555,-611,-626,-799,"-1,081","-1,197","-1,092"
EPS in Rs,,,,,,-62.75,-3.57,-4.73,-4.80,-4.38
Raw PDF,,,,,,,,,,
