Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14,35,215,398,517
Expenses+,12,23,173,309,388
Operating Profit,2,13,42,90,129
OPM %,14%,36%,19%,23%,25%
Other Income+,0,4,3,19,26
Interest,1,2,9,22,23
Depreciation,1,2,10,17,24
Profit before tax,1,12,25,71,108
Tax %,13%,32%,-31%,17%,
Net Profit+,1,8,33,58,86
EPS in Rs,1.01,8.59,10.31,12.72,18.91
Dividend Payout %,0%,0%,0%,0%,
