Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,176","1,153","1,106","1,268","1,615","1,880","1,294","2,494","1,801","1,921","1,505","2,313","2,124"
Expenses+,"1,165","1,167","1,220","1,266","1,393","1,630","1,349","1,463","2,038","2,086","1,882","1,704","2,560"
Operating Profit,10,-14,-115,2,222,250,-55,"1,031",-237,-165,-377,609,-436
OPM %,1%,-1%,-10%,0%,14%,13%,-4%,41%,-13%,-9%,-25%,26%,-21%
Other Income+,106,4,3,205,-47,0,6,4,0,0,5,4,4
Interest,8,16,21,24,29,32,29,26,30,23,16,17,19
Depreciation,2,2,4,4,4,5,4,4,4,4,4,3,4
Profit before tax,106,-28,-137,179,142,213,-81,"1,005",-270,-192,-391,592,-456
Tax %,3%,25%,1%,0%,1%,12%,0%,15%,-11%,-11%,-8%,15%,-13%
Net Profit+,103,-35,-138,178,140,187,-82,851,-242,-170,-359,502,-397
EPS in Rs,0.75,-0.25,-1.00,1.29,1.02,1.36,-0.59,6.16,-1.75,-1.23,-2.57,3.64,-2.87
Raw PDF,,,,,,,,,,,,,
