Metric,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,608,"1,130","1,441","1,330","1,041","1,121"
Expenses+,460,663,807,867,726,800
Operating Profit,148,467,634,463,315,321
OPM %,24%,41%,44%,35%,30%,29%
Other Income+,9,12,43,43,-3,-4
Interest,122,162,97,8,8,12
Depreciation,52,67,69,70,79,84
Profit before tax,-17,251,512,427,224,221
Tax %,117%,25%,25%,25%,28%,
Net Profit+,-36,188,383,319,162,157
EPS in Rs,-18.81,19.54,31.09,25.85,13.14,12.77
Dividend Payout %,0%,0%,8%,12%,23%,
