Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,360,331,328,297,294,259,290,261,241,208,253,274,277
Expenses+,280,252,265,237,240,218,242,219,205,176,218,221,219
Operating Profit,80,79,63,59,54,41,47,42,37,32,35,52,58
OPM %,22%,24%,19%,20%,18%,16%,16%,16%,15%,15%,14%,19%,21%
Other Income+,2,7,7,1,1,3,4,4,5,5,6,6,6
Interest,2,2,1,1,1,1,2,2,2,2,2,2,2
Depreciation,10,10,9,10,10,11,10,11,12,11,11,11,11
Profit before tax,70,74,59,49,43,32,39,33,28,25,29,45,51
Tax %,24%,24%,24%,24%,23%,19%,26%,25%,23%,23%,21%,23%,22%
Net Profit+,53,56,45,37,33,26,29,25,21,19,23,34,39
EPS in Rs,11.69,12.48,10.04,8.22,7.31,5.75,6.34,5.51,4.69,4.24,5.06,7.64,8.73
Raw PDF,,,,,,,,,,,,,
