Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,20,26,48,65,68
Expenses+,17,20,33,44,46
Operating Profit,2,6,15,21,22
OPM %,12%,23%,31%,32%,32%
Other Income+,0,4,0,0,1
Interest,0,1,0,0,0
Depreciation,1,1,3,4,5
Profit before tax,1,8,12,17,17
Tax %,41%,18%,6%,11%,
Net Profit+,1,7,12,15,16
EPS in Rs,0.06,0.51,0.88,1.13,1.18
Dividend Payout %,0%,0%,0%,0%,
