Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,36,72,54,100,36,68,57,184,40,92,94,148,42
Expenses+,33,43,39,50,32,42,39,74,43,63,54,76,51
Operating Profit,2,29,14,50,4,25,17,110,-3,29,40,73,-9
OPM %,7%,41%,27%,50%,12%,37%,30%,60%,-9%,32%,43%,49%,-22%
Other Income+,2,4,-491,571,-42,1,-1,-1,3,2,3,2,4
Interest,4,3,-1,0,0,0,0,0,2,4,4,4,4
Depreciation,23,23,-119,23,23,18,16,21,22,23,23,26,26
Profit before tax,-22,7,-356,597,-61,7,-0,88,-24,4,16,45,-35
Tax %,0%,0%,-55%,1%,-7%,40%,"-12,500%",25%,-74%,33%,3%,1%,12%
Net Profit+,-22,7,-160,589,-57,4,5,66,-6,3,16,44,-39
EPS in Rs,-0.54,0.17,-3.88,12.23,-1.19,0.09,0.10,1.21,-0.12,0.05,0.28,0.78,-0.69
Raw PDF,,,,,,,,,,,,,
