Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,"4,827","5,468","4,890"
Expenses+,"4,256","4,855","4,075"
Operating Profit,571,613,815
OPM %,12%,11%,17%
Other Income+,59,69,41
Interest,22,25,20
Depreciation,101,104,103
Profit before tax,508,553,733
Tax %,25%,25%,25%
Net Profit+,381,417,553
EPS in Rs,17.80,19.46,13.68
Dividend Payout %,41%,46%,82%
