Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,475,656,693,532,584,541,572,492,495,531,560,489,462
Expenses+,424,578,615,473,518,483,508,444,444,473,497,442,413
Operating Profit,50,78,78,59,66,58,64,49,51,57,63,48,48
OPM %,11%,12%,11%,11%,11%,11%,11%,10%,10%,11%,11%,10%,10%
Other Income+,1,1,1,2,4,4,5,6,6,6,9,9,9
Interest,1,1,1,1,1,1,1,1,1,1,1,0,0
Depreciation,10,10,10,9,9,9,9,8,8,9,9,9,9
Profit before tax,41,68,68,51,60,53,59,46,48,54,62,48,48
Tax %,26%,25%,25%,26%,25%,26%,25%,26%,26%,27%,26%,26%,25%
Net Profit+,30,51,51,38,45,39,44,34,36,40,46,36,36
EPS in Rs,19.94,33.54,33.62,25.03,29.84,25.91,29.18,22.53,23.80,26.19,30.39,23.64,23.79
Raw PDF,,,,,,,,,,,,,
