Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,164,152,184,187
Expenses+,150,136,166,165
Operating Profit,14,16,18,21
OPM %,8%,11%,10%,11%
Other Income+,1,0,1,1
Interest,1,1,1,1
Depreciation,0,1,2,2
Profit before tax,13,15,16,19
Tax %,29%,30%,29%,
Net Profit+,9,10,11,14
EPS in Rs,0.19,0.21,0.23,0.27
Dividend Payout %,0%,0%,0%,
