Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,810,950,"1,102","1,430"
Expenses+,780,912,"1,052","1,337"
Operating Profit,30,38,50,92
OPM %,4%,4%,5%,6%
Other Income+,1,1,1,0
Interest,3,6,6,8
Depreciation,1,2,3,3
Profit before tax,27,31,42,82
Tax %,26%,26%,26%,25%
Net Profit+,20,23,31,61
EPS in Rs,22.86,26.35,35.09,8.47
Dividend Payout %,0%,0%,0%,0%
