Metric,Mar 2024,Mar 2025
Sales+,167,193
Expenses+,49,82
Operating Profit,117,110
OPM %,70%,57%
Other Income+,8,9
Interest,20,17
Depreciation,34,47
Profit before tax,71,56
Tax %,11%,28%
Net Profit+,63,41
EPS in Rs,59.38,36.43
Dividend Payout %,2%,5%
