Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,531,471,696,"1,018","1,332","1,711","1,877"
Expenses+,407,387,510,743,965,"1,248","1,367"
Operating Profit,124,85,186,275,367,463,510
OPM %,23%,18%,27%,27%,28%,27%,27%
Other Income+,13,6,17,14,44,43,47
Interest,54,44,49,76,101,115,101
Depreciation,93,95,98,128,170,231,249
Profit before tax,-11,-48,57,84,141,160,207
Tax %,82%,21%,24%,-24%,32%,31%,
Net Profit+,-21,-59,43,103,95,110,145
EPS in Rs,,,,,,2.64,3.64
Dividend Payout %,0%,0%,0%,0%,0%,0%,
