Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,698,686,688,654,763,689,703,685,711,690,750,756,787
Expenses+,622,622,607,586,663,595,604,590,606,595,649,658,687
Operating Profit,76,64,81,68,99,94,99,96,105,95,101,98,100
OPM %,11%,9%,12%,10%,13%,14%,14%,14%,15%,14%,13%,13%,13%
Other Income+,9,12,15,19,20,23,31,20,15,22,29,46,18
Interest,1,1,0,1,1,1,0,0,0,1,2,1,1
Depreciation,11,13,14,12,13,14,14,13,14,15,17,14,16
Profit before tax,73,62,82,74,106,102,117,102,106,101,111,130,102
Tax %,26%,26%,24%,25%,24%,26%,24%,25%,26%,25%,24%,23%,27%
Net Profit+,55,46,62,55,80,76,88,77,79,75,84,100,75
EPS in Rs,9.19,7.79,10.43,9.28,13.46,12.77,14.84,13.39,13.71,13.14,14.62,17.41,13.01
Raw PDF,,,,,,,,,,,,,
