Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,10.16,622.80,58.35,2.43,68.02,142.80,144.22,6.79,3.48,329.50,537.09,840.33,136.85
Expenses+,25.42,"1,271.74",102.73,11.57,19.02,62.52,114.51,15.15,181.37,311.56,559.72,870.27,94.53
Operating Profit,-15.26,-648.94,-44.38,-9.14,49.00,80.28,29.71,-8.36,-177.89,17.94,-22.63,-29.94,42.32
OPM %,-150.20%,-104.20%,-76.06%,-376.13%,72.04%,56.22%,20.60%,-123.12%,"-5,111.78%",5.44%,-4.21%,-3.56%,30.92%
Other Income+,598.99,45.49,31.96,6.26,915.30,401.07,8.63,10.71,-3.53,10.55,34.55,75.25,1.35
Interest,8.76,13.48,19.70,21.78,23.38,5.09,33.07,14.84,-7.67,27.26,12.50,18.29,29.12
Depreciation,0.11,0.12,0.11,0.13,0.09,13.60,12.24,0.48,0.49,13.72,0.47,0.47,0.17
Profit before tax,574.86,-617.05,-32.23,-24.79,940.83,462.66,-6.97,-12.97,-174.24,-12.49,-1.05,26.55,14.38
Tax %,1.58%,0.92%,28.92%,4.52%,5.01%,0.00%,91.25%,1.70%,-36.16%,-163.41%,46.67%,48.36%,30.74%
Net Profit+,565.80,-622.70,-41.55,-25.91,893.74,462.64,-13.33,-13.19,-111.23,7.93,-1.54,13.72,9.96
EPS in Rs,16.62,-18.11,-1.47,-0.64,17.63,9.26,-0.12,-0.25,-2.12,0.08,-0.04,0.23,0.19
Raw PDF,,,,,,,,,,,,,
