Metric,Mar 2025
Sales+,95.73
Expenses+,88.11
Operating Profit,7.62
OPM %,7.96%
Other Income+,0.19
Interest,2.28
Depreciation,0.80
Profit before tax,4.73
Tax %,25.16%
Net Profit+,3.54
EPS in Rs,0.32
Dividend Payout %,0.00%
