Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales+,951,"1,185","1,378","1,505","1,615"
Expenses+,859,938,"1,037","1,114","1,312"
Operating Profit,91,247,340,391,303
OPM %,10%,21%,25%,26%,19%
Other Income+,32,16,24,-23,18
Interest,59,48,32,21,35
Depreciation,33,33,34,35,55
Profit before tax,31,182,299,312,232
Tax %,28%,35%,36%,35%,32%
Net Profit+,23,119,191,202,158
EPS in Rs,1.14,5.99,9.63,10.13,7.89
Dividend Payout %,0%,12%,12%,14%,18%
