Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,813,745,772,960,993,896,983,"1,222","1,181","1,132","1,381","1,558","1,711"
Expenses+,782,715,713,868,969,845,933,"1,130","1,188","1,049","1,323","1,471","1,605"
Operating Profit,32,30,59,92,24,51,50,92,-7,83,57,87,106
OPM %,4%,4%,8%,10%,2%,6%,5%,7%,-1%,7%,4%,6%,6%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,8,9,11,10,9,9,9,9,11,10,11,15,16
Depreciation,3,2,6,3,4,4,5,5,6,5,7,7,11
Profit before tax,21,19,42,79,12,38,36,77,-24,67,39,65,78
Tax %,25%,26%,26%,26%,32%,26%,22%,27%,-26%,29%,19%,30%,25%
Net Profit+,16,14,31,59,8,28,28,57,-17,48,31,46,59
EPS in Rs,5.15,4.44,10.01,18.91,2.70,9.00,9.08,18.19,-5.61,15.50,10.10,14.71,18.82
Raw PDF,,,,,,,,,,,,,
