Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,468,682,846
Expenses+,353,451,534
Operating Profit,115,231,311
OPM %,25%,34%,37%
Other Income+,1,1,1
Interest,49,97,147
Depreciation,15,20,25
Profit before tax,51,115,140
Tax %,26%,33%,26%
Net Profit+,38,77,104
EPS in Rs,18.72,17.43,23.36
Dividend Payout %,0%,0%,60%
