Metric,Mar 2024,Mar 2025,TTM
Sales+,807,820,841
Expenses+,657,684,708
Operating Profit,150,136,132
OPM %,19%,17%,16%
Other Income+,-0,4,3
Interest,17,25,28
Depreciation,17,21,24
Profit before tax,116,94,83
Tax %,26%,26%,
Net Profit+,86,70,62
EPS in Rs,8.59,6.95,6.17
Dividend Payout %,1%,1%,
