Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,97,114,233,393,602,713,752
Expenses+,97,108,218,360,545,639,672
Operating Profit,-1,6,15,33,56,73,81
OPM %,-1%,6%,6%,8%,9%,10%,11%
Other Income+,14,10,12,13,11,14,14
Interest,0,0,1,2,3,3,3
Depreciation,7,5,7,9,15,16,18
Profit before tax,6,11,18,35,49,68,74
Tax %,-11%,23%,18%,20%,22%,22%,
Net Profit+,7,9,15,28,39,53,58
EPS in Rs,2.77,3.58,6.26,11.81,16.26,22.38,24.47
Dividend Payout %,0%,7%,10%,11%,12%,12%,
