Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,926,987,951,999,956,"1,033",973,"1,036",982,"1,050","1,022",995,835
Expenses+,820,844,797,837,814,866,812,867,836,884,863,861,724
Operating Profit,106,143,155,162,142,166,162,169,146,167,159,134,111
OPM %,11%,14%,16%,16%,15%,16%,17%,16%,15%,16%,16%,14%,13%
Other Income+,5,12,6,8,9,8,10,10,9,6,3,9,"1,882"
Interest,3,3,6,3,3,3,3,2,2,3,2,3,2
Depreciation,20,21,22,19,21,20,22,22,22,23,22,18,18
Profit before tax,88,132,133,148,127,152,147,154,132,146,138,122,"1,972"
Tax %,26%,26%,28%,26%,26%,25%,26%,26%,26%,26%,21%,26%,15%
Net Profit+,65,97,95,110,94,114,109,115,98,109,108,91,"1,683"
EPS in Rs,14.36,21.39,20.95,24.13,20.68,24.99,23.87,25.16,21.50,23.85,23.80,19.98,369.52
Raw PDF,,,,,,,,,,,,,
