Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,306,251,275,248,292,252,295,245,391,359,399,403,427
Expenses+,268,229,235,212,246,218,254,212,342,308,345,351,365
Operating Profit,38,22,40,36,47,34,41,33,50,51,54,53,62
OPM %,12%,9%,14%,15%,16%,14%,14%,13%,13%,14%,14%,13%,15%
Other Income+,9,8,2,4,6,5,2,3,2,3,4,2,7
Interest,8,2,7,6,4,5,3,5,11,8,10,12,10
Depreciation,8,9,9,9,10,9,9,10,11,12,11,11,12
Profit before tax,30,19,25,25,38,24,30,21,30,34,37,31,47
Tax %,25%,32%,19%,40%,26%,28%,5%,12%,28%,29%,19%,32%,26%
Net Profit+,23,13,21,15,29,18,28,18,22,24,30,21,35
EPS in Rs,8.92,5.28,8.21,5.98,11.38,7.03,11.35,7.20,8.75,9.64,12.12,8.53,13.83
Raw PDF,,,,,,,,,,,,,
