Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,258,251,312,272,279,258,285,289,302,279,329,310,325
Expenses+,227,217,248,227,233,223,237,247,250,234,269,259,272
Operating Profit,30,34,64,45,46,36,47,42,52,45,60,51,54
OPM %,12%,14%,21%,17%,16%,14%,17%,15%,17%,16%,18%,17%,16%
Other Income+,3,14,-5,-1,5,192,12,5,10,2,-45,9,14
Interest,4,5,7,6,6,6,4,3,3,3,2,3,2
Depreciation,10,11,10,11,11,11,11,11,12,12,12,13,13
Profit before tax,20,33,41,28,34,211,44,33,48,32,1,45,52
Tax %,33%,29%,15%,31%,27%,21%,28%,23%,25%,31%,284%,27%,21%
Net Profit+,13,23,35,19,25,166,32,26,36,22,-1,33,41
EPS in Rs,1.30,2.36,3.57,1.91,2.48,17.09,3.22,2.57,3.64,2.20,-0.21,3.31,4.19
Raw PDF,,,,,,,,,,,,,
