Metric,Sep 200718m,Mar 200918m
Sales+,317,360
Expenses+,279,323
Operating Profit,38,37
OPM %,12%,10%
Other Income+,-4,13
Interest,12,10
Depreciation,16,18
Profit before tax,6,22
Tax %,109%,28%
Net Profit+,-1,16
EPS in Rs,-0.38,10.03
Dividend Payout %,-463%,15%
