Metric,Mar 2023,Mar 2024,TTM
Sales+,151,180,177
Expenses+,134,150,146
Operating Profit,17,29,30
OPM %,11%,16%,17%
Other Income+,104,22,23
Interest,1,1,1
Depreciation,4,4,4
Profit before tax,116,47,48
Tax %,11%,23%,
Net Profit+,103,36,37
EPS in Rs,32.28,11.24,11.59
Dividend Payout %,9%,36%,
