Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,94,106,130,128,158,140,176,171,174,175,192,185,200
Expenses+,85,98,119,116,142,127,160,155,157,157,171,165,178
Operating Profit,9,7,11,11,15,13,16,17,17,19,21,20,22
OPM %,9%,7%,8%,9%,10%,9%,9%,10%,10%,11%,11%,11%,11%
Other Income+,3,3,5,3,2,3,3,3,3,3,5,3,4
Interest,0,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,1,3,3,3,4,4,4,4,4,4,4,5,5
Profit before tax,11,7,13,11,13,11,15,15,16,17,20,17,20
Tax %,21%,19%,21%,22%,22%,21%,22%,22%,25%,21%,19%,22%,24%
Net Profit+,8,6,10,8,10,9,12,12,12,13,16,14,15
EPS in Rs,3.53,2.39,4.18,3.46,4.34,3.59,4.88,4.84,5.02,5.63,6.89,5.71,6.24
Raw PDF,,,,,,,,,,,,,
